Match.Id,Weight,Win.Lose,Score,Attack,Counter.Attack,Points.From.Front.Head.Lock,Points.From.Pushing.Out.Of.Bounds,Opponent.Inactivity,High.Single,Low.Single,Double.Leg,Go.Behind,Duck.Under,Slide.By.And.Throw.By,Ankle.Pick,Trips,Upper.Body.Throws,Gut.Wrench,Leg.Lace,Opponent.Penalty,Youtube.Link,,,,,,,,,,,,,,,,,,,,,,
1R,70,0,2-3,1,,,1,1,1,,,,,,,,,,,,https://www.youtube.com/watch?v=Y-KJyYa1LIQ,,,,,,,,,,,,,,,,,,,,,,
1B,70,1,3-2,1,,,1,1,,,,,,,,,,,,1,https://www.youtube.com/watch?v=Y-KJyYa1LIQ,,,,,,,,,,,,,,,,,,,,,,
2R,65,1,10-0,4,,4,,,,,,,,,2,,2,,6,,https://www.youtube.com/watch?v=YMvqxb783F8,,,,,,,,,,,,,,,,,,,,,,
3B,65,1,5-2,3,2,,1,,1,2,,,2,,,,,,,,https://www.youtube.com/watch?v=plX7Rwc6Z0k,,,,,,,,,,,,,,,,,,,,,,
3R,65,0,2-5,1,,1,1,,,,,,,,2,,,,,1,https://www.youtube.com/watch?v=plX7Rwc6Z0k,,,,,,,,,,,,,,,,,,,,,,
4R,74,1,1-4,,2,,,2,,2,,,,,,,,,,,https://www.youtube.com/watch?v=rGMGTB2J6S8,,,,,,,,,,,,,,,,,,,,,,
4B,74,0,1-4,,,,,1,,,,,,,,,,,,,https://www.youtube.com/watch?v=rGMGTB2J6S8,,,,,,,,,,,,,,,,,,,,,,
5R,86,0,6-7,4,2,,,,2,2,,2,,,,,,,,,https://www.youtube.com/watch?v=kJFcg8GA8Hk,,,,,,,,,,,,,,,,,,,,,,
5B,86,1,7-6,7,,1,4,,1,,,,,,,2,,,,1,https://www.youtube.com/watch?v=kJFcg8GA8Hk,,,,,,,,,,,,,,,,,,,,,,
6R,65,0,2-4,,,,,2,,,,,,,,,,,,,https://www.youtube.com/watch?v=0n2UR1NO-cI,,,,,,,,,,,,,,,,,,,,,,
6B,65,1,4-2,2,,,1,1,,,2,,,,,,,,,,https://www.youtube.com/watch?v=0n2UR1NO-cI,,,,,,,,,,,,,,,,,,,,,,
